place_id,name,address,phone,website,faith_tradition,primary_type,latitude,longitude,rating,review_count,business_status,city,state,zip_code,vertical,created_at,AreaBuilding,AreaBuildingDefinitionCode,Area1stFloor,Area2ndFloor,AreaLotSF,AreaLotAcres,AreaGross,AreaGarage,BasementArea,AtticArea,AtticFlag,Depth,Frontage,ParkingSpaces,MelissaResults,LookupError,FetchedAt,BusinessCoderResults,TotalContacts,BC_CompanyName,BC_MelissaEnterpriseKey,ContactLookupError,Contact1_NameFirst,Contact1_NameLast,Contact1_Gender,Contact1_Title,Contact1_Email,Contact1_ContactPhone,Contact2_NameFirst,Contact2_NameLast,Contact2_Gender,Contact2_Title,Contact2_Email,Contact2_ContactPhone,Contact3_NameFirst,Contact3_NameLast,Contact3_Gender,Contact3_Title,Contact3_Email,Contact3_ContactPhone,Contact4_NameFirst,Contact4_NameLast,Contact4_Gender,Contact4_Title,Contact4_Email,Contact4_ContactPhone,Contact5_NameFirst,Contact5_NameLast,Contact5_Gender,Contact5_Title,Contact5_Email,Contact5_ContactPhone
ChIJXW08OAp-8ogROw2nHrwhd0Q,Temple B'nai Israel,"3917 Gillionville Rd, Albany, GA 31721, USA",(229) 446-6536,https://tbialbanyga.org/,Synagogue,synagogue,31.5877585,-84.2528033,5,4,OPERATIONAL,Albany,GA,31721,places_of_worship,2026-05-24 16:49:23,0.00,,0,0,1129075,25.92,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,FE01,GS05",,Temple B'Nai Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJiW4kXXJt9ogRLjquuu4Bklg,Congregation Children of Israel,"115 Dudley Dr, Athens, GA 30606, USA",(706) 850-1212,http://www.ccisrael.org/,Synagogue,synagogue,33.9421962,-83.4026932,4.6,9,OPERATIONAL,Athens,GA,30606,places_of_worship,2026-05-24 16:41:19,0.00,,0,0,260489,5.98,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA30,DA40,FS01,FS02,FS04,FS05,FS07,GS05",2,Congregation Children of Israel,377272040,,Linder,Eric,M,Religious Leader,,7068501212,Sherman,Ken,M,Executive Officer,ksherman@ccisrael.org,7068501212,,,,,,,,,,,,,,,,,,
ChIJEfy7pIQG9YgRw_Gakl5qm2M,Congregation Shearith Israel,"1180 University Dr NE, Atlanta, GA 30306, USA",(404) 873-1743,https://www.shearithisrael.com/,Synagogue,synagogue,33.7911867,-84.3485098,4.6,29,OPERATIONAL,Atlanta,GA,30306,places_of_worship,2026-05-24 16:33:48,0.00,,0,0,19654,0.451,0,,0,0,,,,,"YS02,YS07,YS05,YC02",,2026-05-27 19:45:24,"AS01,DA00,DA20,DA30,DA40,FS01,FS02,FS04,FS05,GS05",1,Congregation Shearith Israel,958788733,,Hillel,Norry,M,,shearithisrael@shearithisrael.com,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJv4umjpcO9YgRuAhJpRCJrsY,Congregation B'nai Torah,"700 Mount Vernon Hwy NE, Atlanta, GA 30328, USA",(404) 257-0537,http://www.bnaitorah.org/,Synagogue,synagogue,33.9293341,-84.3630266,4.3,18,OPERATIONAL,Atlanta,GA,30328,places_of_worship,2026-05-24 16:43:34,0.00,,0,0,64468,1.48,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA30,DA40,FS01,FS04,FS05,FS07,GS05",3,Congregation B'Nai Torah,860826408,,Donald,Kaye,U,Execuitive Director,execdir@bnaitorah.org,4042570537,Heller,Joshua,M,Religious Leader,rabbi@bnaitorah.org,4042571733,Joshua,Heller,M,,j@bnaitorah.org,,,,,,,,,,,,,
ChIJs6rytT3Y5IgRwVSxhhZsqmA,Temple Beth Tefilloh,"1326 Egmont St, Brunswick, GA 31520, USA",(912) 265-7575,http://bethtefilloh.org/,Synagogue,synagogue,31.1485908,-81.4911935,5,9,OPERATIONAL,Brunswick,GA,31520,places_of_worship,2026-05-24 16:50:14,0.00,,0,0,8638,0.198,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA30,FS01,FS02,FS04,FS05,FS07,GS05",1,Temple Beth Tefilloh,570681571,,Snell,Stacy,F,Chief Executive Officer,,9122657575,,,,,,,,,,,,,,,,,,,,,,,,
ChIJ2dq4e5HLjIgRtp5CiyecJL0,Shearith Israel Synagogue,"6727 River Rd, Columbus, GA 31904, USA",(706) 323-1443,https://www.shearithisrael.net/,Synagogue,synagogue,32.5431962,-84.9967046,4.9,9,OPERATIONAL,Columbus,GA,31904,places_of_worship,2026-05-24 16:36:28,0.00,,0,0,101059,2.32,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA30,FS01,FS02,FS04,FS05,FS07,GS05",1,Shearith Israel Synagogue,944894240,,Borkat,Dan,M,Chief Executive Officer,,7063231443,,,,,,,,,,,,,,,,,,,,,,,,
ChIJ_X2wiCHNjIgRU3Y8nq2g_CM,Temple Israel,"1617 Wildwood Ave, Columbus, GA 31906, USA",(706) 323-1617,http://www.templeisraelga.com/,Synagogue,synagogue,32.4765572,-84.958758,4.9,16,OPERATIONAL,Columbus,GA,31906,places_of_worship,2026-05-24 16:36:28,0.00,,0,0,142441,3.27,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA30,DA40,FS01,FS02,FS04,FS05,GS05",2,Temple Israel,505857231,,Jonathan,Liss,M,President,,7063231617,Lieberman,Marvin,M,Chief Executive Officer,mlieberman@columbusjudaism.org,7063231617,,,,,,,,,,,,,,,,,,
ChIJO2vASocN9YgRFGpTNUj2WLE,Congregation Etz Chaim,"1190 Indian Hills Pkwy NE, Marietta, GA 30068, USA",(770) 973-0137,http://www.etzchaim.net/,Synagogue,synagogue,33.9774376,-84.4353323,4.6,37,OPERATIONAL,Marietta,GA,30068,places_of_worship,2026-05-24 16:35:32,0.00,,0,0,257004,5.9,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA30,DA40,FS01,FS02,FS04,FS05,FS07,GS05",5,Congregation ETZ Chaim,380738470,,Debbie,Deutsch,F,,debbie@etzchaim.net,,Gary,Prager,M,,gary@etzchaim.net,,Gilbert,Marty,M,Executive Director,martin@etzchayim.org,7709730137,Shalom,Lewis,U,,r.lewis@etzchaim.net,,Shrago,Marsha,F,Vice President,marsha@etzchaim.net,7709730137
ChIJnTJBi_US9YgRvU4Ek4_H7CE,Temple Kol Emeth,"1415 Old Canton Rd, Marietta, GA 30062, USA",(770) 973-3533,http://www.kolemeth.net/,Synagogue,synagogue,33.983667,-84.4634593,4.7,15,OPERATIONAL,Marietta,GA,30062,places_of_worship,2026-05-24 16:35:04,0.00,,0,0,330185,7.58,0,,0,0,,,,,"YS02,YS07,YC01",,2026-05-27 19:45:24,"AS01,DA20,DA30,DA40,FS01,FS02,FS04,FS05,FS07,GS05",3,Temple KOL Emeth,746128611,,Lebow,Steven,M,Religious Leader,rabbilebow@kolemeth.net,7709733533,Steve,LeBow,U,Principal,s.lebow@kolemeth.net,7709733533,Steven,LeBow,M,Principal,stephenlebow@kolemeth.net,7709733533,,,,,,,,,,,,
ChIJC47mq1Zz9YgRBVS8DoyDjJc,Temple Kehillat Chaim,"1145 Green St, Roswell, GA 30075, USA",(770) 641-8630,http://www.kehillatchaim.org/,Synagogue,synagogue,34.0297102,-84.3592018,4.9,22,OPERATIONAL,Roswell,GA,30075,places_of_worship,2026-05-24 16:34:56,0.00,,0,0,15577,0.358,0,,0,0,,,,,"YS02,YS07,YS05,YC02",,2026-05-27 19:45:24,"AS01,DA30,DA40,FS01,FS02,FS04,FS05,FS07,GS05",3,Temple Kehillat Chaim,113642831,,Harvey,Winokur,M,Religious Leader,rabbi@kehillatchaim.org,7706418630,Harvey,Winokur,U,Religious Leader,hwinokur@kehillatchaim.org,7706418630,Winokur,Harvey,M,Religious Leader,tkcrabbi@gmail.com,7706418630,,,,,,,,,,,,
